ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10364761,HZ100176,12/31/2015 09:00:00 PM,013XX N CLEVELAND AVE,820,THEFT,$500 AND UNDER,APARTMENT,false,false,1821,18,27,8,6,1172741,1909397,2015,01/07/2016 16:14,41.90682305,-87.64088542,"(41.906823047, -87.640885421)"
10364988,HZ100463,12/31/2015 09:00:00 PM,020XX W SCHILLER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1424,14,1,24,14,1162580,1909428,2015,01/07/2016 16:14,41.90712713,-87.67820998,"(41.907127129, -87.678209975)"
10365904,HZ101825,12/31/2015 09:00:00 PM,060XX S WINCHESTER AVE,810,THEFT,OVER $500,RESIDENCE,false,false,714,7,15,67,6,1164392,1864624,2015,01/07/2016 16:14,41.78414234,-87.67281956,"(41.784142336, -87.672819559)"
10364615,HY556560,12/31/2015 09:00:00 PM,078XX S COLFAX AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,421,4,7,43,3,1194878,1853586,2015,01/07/2016 16:14,41.75315628,-87.56141101,"(41.753156284, -87.561411005)"
10364612,HY556537,12/31/2015 08:52:00 PM,003XX E 51ST ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA STATION,true,false,231,2,3,40,26,1179089,1871272,2015,01/15/2016 11:08:45 AM,41.80206262,-87.6187324,"(41.802062624, -87.618732403)"
10364623,HY556540,12/31/2015 08:51:00 PM,064XX S EBERHART AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,312,3,20,42,08B,1180684,1862500,2015,01/07/2016 16:14,41.77795491,-87.61315243,"(41.777954914, -87.613152431)"
10364595,HY556539,12/31/2015 08:50:00 PM,069XX S TALMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,831,8,18,66,14,1159907,1858492,2015,01/07/2016 16:14,41.76740862,-87.68943171,"(41.767408624, -87.689431708)"
10364637,HY556570,12/31/2015 08:45:00 PM,036XX W DIVERSEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,2524,25,35,22,26,1151419,1918368,2015,01/07/2016 16:14,41.93188587,-87.71897405,"(41.931885873, -87.718974049)"
10364627,HY556536,12/31/2015 08:38:00 PM,036XX S RHODES AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,212,2,4,35,08B,1180179,1881011,2015,01/07/2016 16:14,41.82876229,-87.61443616,"(41.828762287, -87.614436164)"
10364803,HZ100202,12/31/2015 08:30:00 PM,027XX E 83RD ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,423,4,7,46,5,1195752,1850463,2015,01/07/2016 16:14,41.74456497,-87.55831128,"(41.744564968, -87.558311283)"
10365219,HZ100846,12/31/2015 08:30:00 PM,078XX S CORNELL AVE,820,THEFT,$500 AND UNDER,STREET,false,false,411,4,8,43,6,1188595,1853424,2015,01/07/2016 16:14,41.75286413,-87.58444057,"(41.752864125, -87.584440569)"
10364975,HZ100442,12/31/2015 08:30:00 PM,066XX N TALMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,true,false,2412,24,50,2,14,1157455,1943921,2015,01/07/2016 16:14,42.00188387,-87.69609416,"(42.001883866, -87.696094161)"
